Employee_ID,Age,Gender,Education_Level,Industry,Job_Role,Years_Experience,AI_Adoption_Level,Automation_Risk,Upskilling_Required,Salary_Before_AI,Salary_After_AI,Job_Status,Work_Hours_Per_Week,Remote_Work,Job_Satisfaction,Productivity_Change_%
E0001,50,Female,Bachelor,Marketing,Content Creator,26,High,High,Yes,106820,95455,Replaced,45,No,5,-10.64
E0002,45,Male,High School,Manufacturing,Quality Inspector,19,Low,Low,Yes,74131,72013,Unchanged,36,Yes,6,19.05
E0003,51,Female,Master,IT,DevOps Engineer,28,Medium,Medium,Yes,35311,42290,Modified,46,Yes,3,17.05
E0004,48,Male,PhD,Education,Teacher,24,Medium,Medium,Yes,114478,107820,Modified,50,No,9,-2.47
E0005,24,Male,Bachelor,Healthcare,Doctor,0,High,Medium,No,33890,40945,Modified,52,Yes,6,7.03
E0006,46,Male,High School,Healthcare,Technician,21,Low,Medium,No,103969,104781,Modified,36,No,6,-19.04
E0007,49,Male,PhD,Education,Administrator,24,High,Medium,No,78555,86183,Modified,48,Yes,3,-17.94
E0008,57,Male,Bachelor,Finance,Auditor,34,Low,High,No,99479,105776,Unchanged,44,Yes,6,5.51
E0009,50,Other,Bachelor,Education,Professor,27,Low,High,Yes,102409,104197,Unchanged,38,No,8,3.71
E0010,52,Male,High School,Healthcare,Nurse,27,High,Low,Yes,31016,42699,Unchanged,47,Yes,4,30.67
E0011,45,Female,High School,Retail,Store Manager,22,Medium,High,No,93704,92231,Unchanged,43,No,7,12.56
E0012,36,Other,Master,Healthcare,Nurse,10,High,Low,Yes,78984,109956,Unchanged,46,No,9,26.33
E0013,32,Other,Bachelor,Healthcare,Nurse,8,High,High,No,69504,85267,Modified,39,No,4,27.41
E0014,49,Female,High School,Marketing,Content Creator,27,High,Low,Yes,60535,64752,Unchanged,39,Yes,5,-14.28
E0015,43,Other,Master,Education,Professor,19,Medium,High,Yes,100592,102088,Unchanged,37,No,3,38.3
E0016,26,Other,Bachelor,Education,Administrator,3,Low,Medium,Yes,36910,36482,Modified,49,Yes,9,-17.57
E0017,47,Other,PhD,Education,Teacher,24,High,Medium,Yes,53419,46193,Modified,41,Yes,3,-18.11
E0018,53,Other,Bachelor,Education,Teacher,28,High,High,Yes,48141,42537,Replaced,49,No,5,16.27
E0019,50,Male,Bachelor,Education,Administrator,25,Medium,High,No,85820,79219,Unchanged,36,Yes,4,-2.61
E0020,27,Female,PhD,Healthcare,Nurse,2,Medium,Low,No,99163,101637,Unchanged,41,No,8,33.0
E0021,54,Other,High School,Manufacturing,Quality Inspector,32,Low,Medium,Yes,96842,98204,Modified,43,No,5,29.08
E0022,27,Male,PhD,Healthcare,Technician,3,Low,Medium,No,33748,35565,Modified,49,No,5,-3.84
E0023,53,Other,Master,Education,Teacher,31,Low,High,No,84384,80986,Unchanged,46,Yes,8,-4.77
E0024,23,Female,PhD,Retail,Store Manager,0,High,High,No,53664,47699,Modified,51,Yes,4,39.86
E0025,23,Female,High School,Finance,Accountant,0,Medium,High,No,30854,30347,Unchanged,53,Yes,8,34.5
E0026,23,Female,Master,Retail,Sales Associate,0,Low,High,No,80859,82247,Unchanged,38,Yes,9,13.17
E0027,32,Male,Master,Education,Administrator,8,Low,High,Yes,42688,45216,Unchanged,54,Yes,4,2.07
E0028,27,Male,High School,Education,Professor,3,High,Medium,Yes,110623,141487,Modified,40,Yes,7,-10.96
E0029,24,Other,PhD,IT,DevOps Engineer,0,High,Medium,No,32811,39587,Modified,37,No,9,-19.0
